era5_sst_c,era5_msl_hpa,era5_wind10_ms,lat,lon,month_sin,month_cos,era5_u10,era5_v10,basin_NI,basin_SI,basin_SP,basin_WP,basin_nan,target
29.67849,1009.8605,8.081571,16.1667,141.067,-0.8660254037844386,0.5000000000000001,-2.3150778,7.7236476,False,False,False,True,False,30.0
25.42495,1008.0397,2.5081706,19.95,-118.793,-0.5000000000000001,-0.8660254037844386,1.6398634,1.3933355,False,False,False,False,False,30.0
27.107761,1007.2008,7.094855,16.0924,-116.258,-0.5000000000000001,-0.8660254037844386,2.0004053,6.495926,False,False,False,False,False,42.0
29.233515,992.99146,12.567581,26.3575,-75.1351,-1.0,-1.8369701987210297e-16,-9.473811,2.6030183,False,False,False,False,True,140.0
26.608992,1002.0976,5.284468,17.0925,-137.95,-0.8660254037844384,-0.5000000000000004,-4.6861844,0.55153626,False,False,False,False,False,57.0
27.572468,1007.7094,3.198122,-18.0,78.95,0.8660254037844387,-0.4999999999999998,-2.9409728,0.7932068,False,True,False,False,False,30.0
27.38663,1011.08514,5.891504,13.12,-20.1074,-0.5000000000000001,-0.8660254037844386,3.572951,-4.558334,False,False,False,False,True,30.0
28.504597,1003.52985,11.176336,20.2067,-71.9541,-0.5000000000000001,-0.8660254037844386,-9.301251,-3.4902425,False,False,False,False,True,67.0
29.958542,999.98694,11.622405,21.025,152.025,-0.8660254037844384,-0.5000000000000004,-0.017573852,11.57907,False,False,False,True,False,35.0
28.551636,1001.036,9.349757,6.15714,56.7857,-2.4492935982947064e-16,1.0,5.603704,-7.1290007,True,False,False,False,False,30.0
28.265465,1011.2609,4.173023,9.90743,-43.5925,-0.5000000000000001,-0.8660254037844386,3.7993996,1.5038044,False,False,False,False,True,42.0
27.16358,977.3115,10.601394,18.8,63.95,-0.8660254037844386,0.5000000000000001,6.6117053,2.7570558,True,False,False,False,False,120.0
29.088108,995.0244,17.054699,-14.4757,121.567,0.49999999999999994,0.8660254037844387,16.933435,1.1469038,False,True,False,False,False,57.0
26.896587,1004.1392,12.290261,-23.2,70.5,0.49999999999999994,0.8660254037844387,4.596399,-11.372339,False,True,False,False,False,40.0
28.33112,1002.39905,2.3786426,-18.7,167.7,0.8660254037844386,0.5000000000000001,-1.2590692,1.4297436,False,False,True,False,False,20.0
26.718658,1005.5044,15.183661,-25.0,71.3,0.8660254037844386,0.5000000000000001,-6.019107,-13.939615,False,True,False,False,False,60.0
28.897223,991.30664,13.386246,18.15,144.4,-0.8660254037844386,0.5000000000000001,-5.344099,10.323723,False,False,False,True,False,130.0
28.680199,1012.9286,4.4452906,29.392,-85.7172,-0.5000000000000001,-0.8660254037844386,2.0972304,3.8990793,False,False,False,False,True,30.0
26.697706,997.15814,13.143111,-16.1333,91.0667,1.0,6.123233995736766e-17,-12.2081585,-3.670898,False,True,False,False,False,105.0
27.576569,990.61816,13.941566,-18.45,63.25,1.0,6.123233995736766e-17,6.8259,-12.114008,False,True,False,False,False,105.0
27.695581,1002.1126,8.542833,12.3,-131.8,-0.5000000000000001,-0.8660254037844386,-1.1657482,7.932203,False,False,False,False,False,80.0
27.7736,1003.34485,8.372053,6.025,105.025,0.49999999999999994,0.8660254037844387,-7.493877,-3.6056597,False,False,False,True,False,40.0
26.95551,1008.2311,7.1713905,18.28,-131.135,-1.0,-1.8369701987210297e-16,-5.6001124,4.2189364,False,False,False,False,False,47.0
29.431833,1002.89343,4.699429,14.1333,133.233,-0.8660254037844384,-0.5000000000000004,-0.46542585,-4.2428656,False,False,False,True,False,20.0
28.989275,1004.9674,1.7699336,16.8225,-87.5074,-0.5000000000000004,0.8660254037844384,-1.6598908,-0.5514323,False,False,False,False,True,30.0
22.806158,1010.0561,2.898488,23.6,-126.8,-1.0,-1.8369701987210297e-16,-2.6578224,0.09266357,False,False,False,False,False,25.0
29.215313,997.4316,18.494568,15.8298,146.415,-0.8660254037844386,0.5000000000000001,-15.966421,7.8709283,False,False,False,True,False,112.0
27.12148,1009.5261,2.6857386,16.1,-133.6,-1.0,-1.8369701987210297e-16,0.3157068,-1.8850976,False,False,False,False,False,35.0
28.950933,1009.75134,7.4024286,16.4,-63.5,-0.8660254037844384,-0.5000000000000004,-4.4182005,5.7590055,False,False,False,False,True,55.0
27.974566,997.4354,13.340078,17.8731,114.095,-0.8660254037844386,0.5000000000000001,-2.807806,-10.9537525,False,False,False,True,False,62.0
30.045696,1010.6578,4.507443,28.7929,-91.8416,-0.8660254037844384,-0.5000000000000004,-3.519861,-2.7198787,False,False,False,False,True,20.0
